orden,path,dominio,intencion,estado,action_items,referencia_contenido
13,.codex/prompts/bmad-agent-bmm-ux-designer.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
14,.codex/prompts/bmad-agent-cis-brainstorming-coach.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
15,.codex/prompts/bmad-agent-cis-creative-problem-solver.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
16,.codex/prompts/bmad-agent-cis-design-thinking-coach.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
17,.codex/prompts/bmad-agent-cis-innovation-strategist.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
18,.codex/prompts/bmad-agent-cis-presentation-master.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
19,.codex/prompts/bmad-agent-cis-storyteller.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
20,.codex/prompts/bmad-agent-tea-tea.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
21,.codex/prompts/bmad-bmb-create-agent.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
22,.codex/prompts/bmad-bmb-create-module-brief.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
23,.codex/prompts/bmad-bmb-create-module.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
24,.codex/prompts/bmad-bmb-create-workflow.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
25,.codex/prompts/bmad-bmb-edit-agent.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
26,.codex/prompts/bmad-bmb-edit-module.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
27,.codex/prompts/bmad-bmb-edit-workflow.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
28,.codex/prompts/bmad-bmb-rework-workflow.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
29,.codex/prompts/bmad-bmb-validate-agent.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
30,.codex/prompts/bmad-bmb-validate-max-parallel-workflow.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
31,.codex/prompts/bmad-bmb-validate-module.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
32,.codex/prompts/bmad-bmb-validate-workflow.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
33,.codex/prompts/bmad-bmm-check-implementation-readiness.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
34,.codex/prompts/bmad-bmm-code-review.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
35,.codex/prompts/bmad-bmm-correct-course.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
36,.codex/prompts/bmad-bmm-create-architecture.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
37,.codex/prompts/bmad-bmm-create-epics-and-stories.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
38,.codex/prompts/bmad-bmm-create-prd.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
39,.codex/prompts/bmad-bmm-create-product-brief.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
40,.codex/prompts/bmad-bmm-create-story.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
41,.codex/prompts/bmad-bmm-create-ux-design.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
42,.codex/prompts/bmad-bmm-dev-story.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
43,.codex/prompts/bmad-bmm-document-project.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
44,.codex/prompts/bmad-bmm-domain-research.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
45,.codex/prompts/bmad-bmm-edit-prd.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
46,.codex/prompts/bmad-bmm-generate-project-context.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
47,.codex/prompts/bmad-bmm-market-research.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
48,.codex/prompts/bmad-bmm-qa-automate.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
49,.codex/prompts/bmad-bmm-quick-dev.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
50,.codex/prompts/bmad-bmm-quick-spec.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
51,.codex/prompts/bmad-bmm-retrospective.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
52,.codex/prompts/bmad-bmm-sprint-planning.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
53,.codex/prompts/bmad-bmm-sprint-status.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
54,.codex/prompts/bmad-bmm-technical-research.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
55,.codex/prompts/bmad-bmm-validate-prd.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
56,.codex/prompts/bmad-brainstorming.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
57,.codex/prompts/bmad-cis-design-thinking.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
58,.codex/prompts/bmad-cis-innovation-strategy.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
59,.codex/prompts/bmad-cis-problem-solving.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
60,.codex/prompts/bmad-cis-storytelling.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
61,.codex/prompts/bmad-editorial-review-prose.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
62,.codex/prompts/bmad-editorial-review-structure.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
63,.codex/prompts/bmad-help.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
64,.codex/prompts/bmad-index-docs.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
65,.codex/prompts/bmad-party-mode.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
66,.codex/prompts/bmad-review-adversarial-general.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
67,.codex/prompts/bmad-shard-doc.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
68,.codex/prompts/bmad-tea-teach-me-testing.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
69,.codex/prompts/bmad-tea-testarch-atdd.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
70,.codex/prompts/bmad-tea-testarch-automate.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
71,.codex/prompts/bmad-tea-testarch-ci.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
72,.codex/prompts/bmad-tea-testarch-framework.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
73,.codex/prompts/bmad-tea-testarch-nfr.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
74,.codex/prompts/bmad-tea-testarch-test-design.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
75,.codex/prompts/bmad-tea-testarch-test-review.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
76,.codex/prompts/bmad-tea-testarch-trace.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
77,.cursor/commands/bmad-agent-bmad-master.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
78,.cursor/commands/bmad-agent-bmb-agent-builder.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
79,.cursor/commands/bmad-agent-bmb-module-builder.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
80,.cursor/commands/bmad-agent-bmb-workflow-builder.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
81,.cursor/commands/bmad-agent-bmm-analyst.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
82,.cursor/commands/bmad-agent-bmm-architect.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
83,.cursor/commands/bmad-agent-bmm-dev.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
84,.cursor/commands/bmad-agent-bmm-pm.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
85,.cursor/commands/bmad-agent-bmm-qa.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
86,.cursor/commands/bmad-agent-bmm-quick-flow-solo-dev.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
87,.cursor/commands/bmad-agent-bmm-sm.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
88,.cursor/commands/bmad-agent-bmm-tech-writer.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
89,.cursor/commands/bmad-agent-bmm-ux-designer.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
90,.cursor/commands/bmad-agent-cis-brainstorming-coach.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
91,.cursor/commands/bmad-agent-cis-creative-problem-solver.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
92,.cursor/commands/bmad-agent-cis-design-thinking-coach.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
93,.cursor/commands/bmad-agent-cis-innovation-strategist.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
94,.cursor/commands/bmad-agent-cis-presentation-master.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
95,.cursor/commands/bmad-agent-cis-storyteller.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
96,.cursor/commands/bmad-agent-tea-tea.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
97,.cursor/commands/bmad-bmb-create-agent.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
98,.cursor/commands/bmad-bmb-create-module-brief.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
99,.cursor/commands/bmad-bmb-create-module.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
100,.cursor/commands/bmad-bmb-create-workflow.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
101,.cursor/commands/bmad-bmb-edit-agent.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
102,.cursor/commands/bmad-bmb-edit-module.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
103,.cursor/commands/bmad-bmb-edit-workflow.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
104,.cursor/commands/bmad-bmb-rework-workflow.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
105,.cursor/commands/bmad-bmb-validate-agent.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
106,.cursor/commands/bmad-bmb-validate-max-parallel-workflow.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
107,.cursor/commands/bmad-bmb-validate-module.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
108,.cursor/commands/bmad-bmb-validate-workflow.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
109,.cursor/commands/bmad-bmm-check-implementation-readiness.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
110,.cursor/commands/bmad-bmm-code-review.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
111,.cursor/commands/bmad-bmm-correct-course.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
112,.cursor/commands/bmad-bmm-create-architecture.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
113,.cursor/commands/bmad-bmm-create-epics-and-stories.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
114,.cursor/commands/bmad-bmm-create-prd.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
115,.cursor/commands/bmad-bmm-create-product-brief.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
116,.cursor/commands/bmad-bmm-create-story.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
117,.cursor/commands/bmad-bmm-create-ux-design.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
118,.cursor/commands/bmad-bmm-dev-story.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
119,.cursor/commands/bmad-bmm-document-project.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
120,.cursor/commands/bmad-bmm-domain-research.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
121,.cursor/commands/bmad-bmm-edit-prd.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
122,.cursor/commands/bmad-bmm-generate-project-context.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
123,.cursor/commands/bmad-bmm-market-research.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
124,.cursor/commands/bmad-bmm-qa-automate.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
125,.cursor/commands/bmad-bmm-quick-dev.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
126,.cursor/commands/bmad-bmm-quick-spec.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
127,.cursor/commands/bmad-bmm-retrospective.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
128,.cursor/commands/bmad-bmm-sprint-planning.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
129,.cursor/commands/bmad-bmm-sprint-status.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
130,.cursor/commands/bmad-bmm-technical-research.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
131,.cursor/commands/bmad-bmm-validate-prd.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
132,.cursor/commands/bmad-brainstorming.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
133,.cursor/commands/bmad-cis-design-thinking.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
134,.cursor/commands/bmad-cis-innovation-strategy.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
135,.cursor/commands/bmad-cis-problem-solving.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
136,.cursor/commands/bmad-cis-storytelling.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
137,.cursor/commands/bmad-editorial-review-prose.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
138,.cursor/commands/bmad-editorial-review-structure.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
139,.cursor/commands/bmad-help.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
140,.cursor/commands/bmad-index-docs.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
141,.cursor/commands/bmad-party-mode.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
142,.cursor/commands/bmad-review-adversarial-general.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
143,.cursor/commands/bmad-shard-doc.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
144,.cursor/commands/bmad-tea-teach-me-testing.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
145,.cursor/commands/bmad-tea-testarch-atdd.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
146,.cursor/commands/bmad-tea-testarch-automate.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
147,.cursor/commands/bmad-tea-testarch-ci.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
148,.cursor/commands/bmad-tea-testarch-framework.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
149,.cursor/commands/bmad-tea-testarch-nfr.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
150,.cursor/commands/bmad-tea-testarch-test-design.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
151,.cursor/commands/bmad-tea-testarch-test-review.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
152,.cursor/commands/bmad-tea-testarch-trace.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
153,.cursor/commands/bmad-workflow.md,.cursor,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
154,.github/workflows/secret-scan.yml,.github,Workflow de automatizacion CI/CD,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,name: secret-scan
155,.gitignore,.gitignore,Soporte del repositorio,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,# Ignore log files
156,.gitmodules,.gitmodules,Entrypoint critico del sistema de dotfiles,resuelto,Mantener con smoke tests y revisiones de regresion.,"[submodule ""terminal/alacritty/themes""]"
157,.opencode/agent/bmad-agent-bmad-master.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
158,.opencode/agent/bmad-agent-bmb-agent-builder.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
159,.opencode/agent/bmad-agent-bmb-module-builder.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
160,.opencode/agent/bmad-agent-bmb-workflow-builder.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
161,.opencode/agent/bmad-agent-bmm-analyst.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
162,.opencode/agent/bmad-agent-bmm-architect.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
163,.opencode/agent/bmad-agent-bmm-dev.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
164,.opencode/agent/bmad-agent-bmm-pm.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
165,.opencode/agent/bmad-agent-bmm-qa.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
166,.opencode/agent/bmad-agent-bmm-quick-flow-solo-dev.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
167,.opencode/agent/bmad-agent-bmm-sm.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
168,.opencode/agent/bmad-agent-bmm-tech-writer.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
169,.opencode/agent/bmad-agent-bmm-ux-designer.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
170,.opencode/agent/bmad-agent-cis-brainstorming-coach.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
171,.opencode/agent/bmad-agent-cis-creative-problem-solver.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
172,.opencode/agent/bmad-agent-cis-design-thinking-coach.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
173,.opencode/agent/bmad-agent-cis-innovation-strategist.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
174,.opencode/agent/bmad-agent-cis-presentation-master.md,.opencode,Documento de referencia o decision,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
