orden,prompt,path_prompt,proceso_actual_existe,estado,evidencia_paths,action_items
13,13-Implementar_sistema_de_auto_carga_modular.md,docs/prompts/project-docs/13-Implementar_sistema_de_auto_carga_modular.md,si,resuelto,shell/init.sh; shell/zsh/.zshrc; shell/bash/.bashrc,Unificar entrypoint en documentación con ejemplos de carga.
14,14-Implementar_gestor_ASDF_mejorado.md,docs/prompts/project-docs/14-Implementar_gestor_ASDF_mejorado.md,no_claro,pendiente_a_evaluar,.tool-versions; shell/exports.sh,"Definir estrategia ASDF (instalación, updates y healthcheck)."
15,15-Crear_scripts_de_setup_por_lenguaje.md,docs/prompts/project-docs/15-Crear_scripts_de_setup_por_lenguaje.md,si,resuelto,langs/; Makefile,Agregar README por lenguaje con comando bootstrap concreto.
16,16-Configurar_servidores_MCP.md,docs/prompts/project-docs/16-Configurar_servidores_MCP.md,si,resuelto,docs/guides/mcp-setup-with-claude-code.md; docs/prompts/project-docs/16-Configurar_servidores_MCP.md,Versionar plantilla activa de configuración MCP.
17,17-Crear_comandos_SuperClaude_personalizados.md,docs/prompts/project-docs/17-Crear_comandos_SuperClaude_personalizados.md,no,pendiente_a_evaluar,docs/prompts/project-docs/17-Crear_comandos_SuperClaude_personalizados.md,Definir si SuperClaude sigue en scope o se depreca.
18,18-Migrar_scripts_existentes.md,docs/prompts/project-docs/18-Migrar_scripts_existentes.md,si,resuelto,scripts/bootstrap/; migrations/,Documentar scripts migrados vs legacy explícitamente.
19,19-Implementar_funciones_reutilizables.md,docs/prompts/project-docs/19-Implementar_funciones_reutilizables.md,si,resuelto,lib/common.sh; scripts/bootstrap/lib.sh,Expandir reutilización para evitar duplicación shell.
20,20-Generar_README_principal.md,docs/prompts/project-docs/20-Generar_README_principal.md,si,resuelto,README.md; docs/README.md,Sincronizar README raíz con índice canónico cuando cambie estructura.
21,21-Documentar_arquitectura.md,docs/prompts/project-docs/21-Documentar_arquitectura.md,si,resuelto,docs/architecture-patterns.md; docs/decisions/system-structure.md,Agregar ADR para decisiones recientes de cleanup.
22,22-Crear_guías_de_setup.md,docs/prompts/project-docs/22-Crear_guías_de_setup.md,si,resuelto,docs/guides/README.md; docs/guides/shell-load-order-zsh-bash.md,Completar guías faltantes por módulo (WM/terminal/editors).
23,23-Implementar_tests_de_instalación.md,docs/prompts/project-docs/23-Implementar_tests_de_instalación.md,si,resuelto,scripts/tests/run.sh; Makefile,Agregar pruebas más allá de smoke (unit/integration).
24,24-Validar_compatibilidad_multi_plataforma.md,docs/prompts/project-docs/24-Validar_compatibilidad_multi_plataforma.md,parcial,pendiente_a_evaluar,scripts/bootstrap/lib.sh; symlinks/conf.linux.yaml; symlinks/conf.macos.yaml,Agregar matrix CI macOS/Linux o validación reproducible equivalente.
25,25-Prueba_completa_del_sistema.md,docs/prompts/project-docs/25-Prueba_completa_del_sistema.md,parcial,pendiente_a_evaluar,make test; scripts/tests/run.sh,Diseñar prueba end-to-end completa de instalación real.
26,26-Optimizar_performance_de_carga.md,docs/prompts/project-docs/26-Optimizar_performance_de_carga.md,no,pendiente_a_evaluar,docs/guides/plan-shell-redistribucion-2026-01-27.md,Medir tiempo de carga shell y aplicar optimizaciones guiadas por métricas.
27,27-Eliminar_código_muerto_y_duplicado.md,docs/prompts/project-docs/27-Eliminar_código_muerto_y_duplicado.md,parcial,pendiente_a_evaluar,docs/migrations/dedup-phase2-report.md; docs/project-structure.md,Ejecutar pasada de deduplicación de código/config no solo docs.
28,28-Comprimir_y_optimizar_configuraciones.md,docs/prompts/project-docs/28-Comprimir_y_optimizar_configuraciones.md,no,pendiente_a_evaluar,docs/prompts/project-docs/28-Comprimir_y_optimizar_configuraciones.md,Definir criterio de optimización y compresión de configs.
29,29-Preparar_para_versionado.md,docs/prompts/project-docs/29-Preparar_para_versionado.md,si,resuelto,VERSION; .version.lock; lib/version.sh,Mantener disciplina de bump + changelog técnico.
30,30-Crear_estructura_de_branches.md,docs/prompts/project-docs/30-Crear_estructura_de_branches.md,si,resuelto,docs/decisions/branching-strategy.md; docs/decisions/README.md,Aplicar estrategia de ramas en todos los PRs activos.
31,31-Documentar_cambios.md,docs/prompts/project-docs/31-Documentar_cambios.md,si,resuelto,docs/migrations/; docs/audit/,Consolidar formato único de change report.
32,32-Crear_comando_analyze_dotfiles.md,docs/prompts/project-docs/32-Crear_comando_analyze_dotfiles.md,no,pendiente_a_evaluar,docs/prompts/project-docs/32-Crear_comando_analyze_dotfiles.md; bin/,Implementar `bin/analyze_dotfiles` o deprecar prompt.
33,33-Crear_comando_sync_dotfiles.md,docs/prompts/project-docs/33-Crear_comando_sync_dotfiles.md,no,pendiente_a_evaluar,docs/prompts/project-docs/33-Crear_comando_sync_dotfiles.md; bin/,Implementar `bin/sync_dotfiles` o deprecar prompt.
34,34-Indexar_todos_los_comandos.md,docs/prompts/project-docs/34-Indexar_todos_los_comandos.md,si,resuelto,docs/guides/commands-index.md; docs/README.md; Makefile,Mantener índice sincronizado con cada cambio de targets/comandos.
35,35-Análisis_final_de_calidad.md,docs/prompts/project-docs/35-Análisis_final_de_calidad.md,si,resuelto,docs/deep-scan-audit-dotfiles.md,Programar refresh periódico del análisis final.
36,36-Generar_reporte_de_migración.md,docs/prompts/project-docs/36-Generar_reporte_de_migración.md,si,resuelto,docs/migrations/project_docs-extraction-report.md; docs/project-scan-report.json,Unificar reporte final con fuente única.
37,37-Crear_workflow_de_mantenimiento.md,docs/prompts/project-docs/37-Crear_workflow_de_mantenimiento.md,si,resuelto,docs/guides/maintenance-workflow.md; docs/guides/README.md,Aplicar ciclo diario/semanal/mensual de forma sostenida.
38,38-Migrar_configuración_QMK.md,docs/prompts/project-docs/38-Migrar_configuración_QMK.md,si,resuelto,caps-layout/qmk; caps-layout/README.md,Documentar proceso de build/flash paso a paso.
39,39-Organizar_fuentes_personalizadas.md,docs/prompts/project-docs/39-Organizar_fuentes_personalizadas.md,si,resuelto,fonts/; DOTFILES_INDEX.md,Agregar inventario + criterio de instalación de fuentes.
40,40-Refactorizar_SketchyBar.md,docs/prompts/project-docs/40-Refactorizar_SketchyBar.md,si,resuelto,menu-bar/sketchybar; DOTFILES_INDEX.md,Documentar módulos de sketchybar y healthcheck.
41,41-Migrar_configuración_Yabai.md,docs/prompts/project-docs/41-Migrar_configuración_Yabai.md,si,resuelto,tiling-windows-manager/yabai; DOTFILES_INDEX.md,Agregar guía de arranque/servicio de yabai.
42,42-Consolidar_shortcuts_SKHD.md,docs/prompts/project-docs/42-Consolidar_shortcuts_SKHD.md,si,resuelto,shortcuts/skhd; DOTFILES_INDEX.md,Agregar catálogo de atajos y validación de conflictos.
43,43-Migrar_configuración_Alacritty.md,docs/prompts/project-docs/43-Migrar_configuración_Alacritty.md,si,resuelto,terminal/alacritty; DOTFILES_INDEX.md,Documentar fallback terminal y perfiles por OS.
44,44-Optimizar_configuración_tmux.md,docs/prompts/project-docs/44-Optimizar_configuración_tmux.md,parcial,pendiente_a_evaluar,terminal/tmux; DOTFILES_INDEX.md,Definir optimizaciones medibles (latencia/plugins).
45,45-Integrar_workflows.md,docs/prompts/project-docs/45-Integrar_workflows.md,parcial,pendiente_a_evaluar,Makefile; .github/workflows/secret-scan.yml,Integrar workflows faltantes en pipeline único.
46,46-Configurar_gestión_de_claves_SSH.md,docs/prompts/project-docs/46-Configurar_gestión_de_claves_SSH.md,parcial,pendiente_a_evaluar,shell/functions.sh; git/.gitconfig,Formalizar gestión SSH keys en guía dedicada.
47,47-Integrar_hardware_keys.md,docs/prompts/project-docs/47-Integrar_hardware_keys.md,no_claro,pendiente_a_evaluar,docs/prompts/project-docs/47-Integrar_hardware_keys.md,Decidir scope real de hardware keys en este repo.
48,48-Configurar_GPG_con_hardware.md,docs/prompts/project-docs/48-Configurar_GPG_con_hardware.md,no_claro,pendiente_a_evaluar,docs/prompts/project-docs/48-Configurar_GPG_con_hardware.md; git/.gitconfig,"Si aplica, documentar + automatizar setup GPG hardware."
49,49-Gestión_segura_de_secretos.md,docs/prompts/project-docs/49-Gestión_segura_de_secretos.md,si,resuelto,env/.env.example; env/README.md; shell/exports.sh; scripts/security/scan-secrets.sh,Mantener política: cero secretos hardcodeados.
50,50-Sistema_de_vaults_con_symlinks.md,docs/prompts/project-docs/50-Sistema_de_vaults_con_symlinks.md,si,resuelto,symlinks/conf.yaml; scripts/bootstrap/install.sh,Agregar validación de links rotos al smoke test.
51,51-Integración_con_servicios_cloud.md,docs/prompts/project-docs/51-Integración_con_servicios_cloud.md,parcial,pendiente_a_evaluar,shell/exports.sh,Especificar integraciones cloud activas (AWS/GCP/etc) y mínimos.
52,52-Integración_con_Obsidian.md,docs/prompts/project-docs/52-Integración_con_Obsidian.md,parcial,pendiente_a_evaluar,shell/exports.sh,"Formalizar integración Obsidian (paths, sync, privacidad)."
53,53-Integración_con_Notion.md,docs/prompts/project-docs/53-Integración_con_Notion.md,no,pendiente_a_evaluar,docs/prompts/project-docs/53-Integración_con_Notion.md,Definir si Notion entra en scope o deprecar.
54,54-Configuración_Ethereum.md,docs/prompts/project-docs/54-Configuración_Ethereum.md,parcial,pendiente_a_evaluar,langs/solidity; docs/prompts/project-docs/54-Configuración_Ethereum.md,Separar setup Ethereum real de referencias genéricas.
55,55-Configuración_Bitcoin.md,docs/prompts/project-docs/55-Configuración_Bitcoin.md,no,pendiente_a_evaluar,docs/prompts/project-docs/55-Configuración_Bitcoin.md,Definir alcance Bitcoin o deprecar.
56,56-Integración_Trezor_Suite.md,docs/prompts/project-docs/56-Integración_Trezor_Suite.md,no,deprecar,docs/prompts/project-docs/56-Integración_Trezor_Suite.md; docs/guides/plan-shell-redistribucion-2026-01-27.md,Mantener fuera de scope; no reintroducir Trezor sin decisión explícita.
57,57-Scripts_de_seguridad_crypto.md,docs/prompts/project-docs/57-Scripts_de_seguridad_crypto.md,no,pendiente_a_evaluar,docs/prompts/project-docs/57-Scripts_de_seguridad_crypto.md,Definir scripts crypto concretos o deprecar.
58,58-Configuración_Git_con_GPG.md,docs/prompts/project-docs/58-Configuración_Git_con_GPG.md,parcial,pendiente_a_evaluar,git/.gitconfig,Completar configuración GPG firmada y documentación operativa.
59,59-Git_hooks_personalizados.md,docs/prompts/project-docs/59-Git_hooks_personalizados.md,no,pendiente_a_evaluar,.git/hooks/; docs/prompts/project-docs/59-Git_hooks_personalizados.md,Diseñar hooks versionados y portables.
60,60-Templates_y_workflows_Git.md,docs/prompts/project-docs/60-Templates_y_workflows_Git.md,parcial,pendiente_a_evaluar,.github/workflows/secret-scan.yml; Makefile,Definir templates/workflows Git canónicos del repo.
61,61-Implementar_tests_unitarios.md,docs/prompts/project-docs/61-Implementar_tests_unitarios.md,parcial,pendiente_a_evaluar,scripts/tests/run.sh,Agregar batería de tests unitarios reales.
62,62-Crear_documentación_de_módulos.md,docs/prompts/project-docs/62-Crear_documentación_de_módulos.md,parcial,pendiente_a_evaluar,docs/README.md; docs/guides/README.md; docs/decisions/README.md,Completar documentación por módulo técnico.
63,63-Setup_de_releases_automáticos.md,docs/prompts/project-docs/63-Setup_de_releases_automáticos.md,no,pendiente_a_evaluar,docs/prompts/project-docs/63-Setup_de_releases_automáticos.md; .github/workflows/,Definir pipeline de releases para dotfiles (si aplica).
64,64-Validación_final_completa.md,docs/prompts/project-docs/64-Validación_final_completa.md,parcial,pendiente_a_evaluar,make test; scripts/tests/run.sh,Definir checklist de validación final de punta a punta.
